review_id,user_id,business_id,date,service_name,state,rec_score,q_responses,business_name,bus_lat,bus_log,stars,user_review,categories,user_name,review_count,average_stars,gender,age,user_log,user_lat,nearest_businesses,shortest_distance,distances,composite_score
206,56,3,2015-07-03 19:24:24,Restaurant dining,1,9,1,YT Cocktail Bar And Creperie,-1.9589983,30.1049041,4.1,41.0,"Mediterranean, Restaurants, Seafood, Greek",Julia,4,5.0,0,35,29.797819967873966,-1.480499362951034,"['ECO WASH  STEAM', 'Thella Cafe', 'Thella Cafe', 'Thella Cafe', 'Thella Cafe']",0.9235654052415798,"[0.9235654052415798, 1.0037899242026036, 1.0037899242026036, 1.0037899242026036, 1.0037899242026036]",5.911745780238759
402,382,3,2010-01-11 00:38:17,Mediterranean restaurant,1,9,1,YT Cocktail Bar And Creperie,-1.9589983,30.1049041,4.1,41.0,"Mediterranean, Restaurants, Seafood, Greek",Anne,96,3.7,0,40,29.73243156814253,-2.1498856930714383,"['Mimoza Bar', 'Piano Bar', 'Water Access Rwanda', 'Range group', 'Range group']",0.07753980224923747,"[0.07753980224923747, 0.08256062070750837, 0.10056105749919372, 0.10264333756990794, 0.10264333756990794]",5.9382895062390135
59,357,83,2009-10-14 19:57:14,Italian restaurant,2,8,1,360 Degrees Pizza,-1.9528453,30.0929913,4.3,198.0,"Pizza, Restaurants, Italian, Salad",Meg,176,3.46,0,35,30.79984024874511,-2.15470501197638,"['Africa Improved Foods', 'Africa Improved Foods', 'Africa Improved Foods', 'Nyandungu RestaurantBourbon Coffee', 'Mojo Palace']",1.1695502032811684,"[1.1695502032811684, 1.1695502032811684, 1.1695502032811684, 1.2836007578155977, 1.2950240075199289]",6.188972441554743
240,196,83,2016-03-30 23:45:07,Restaurant dining,1,9,1,360 Degrees Pizza,-1.9528453,30.0929913,4.3,198.0,"Pizza, Restaurants, Italian, Salad",Carly,42,2.67,0,35,29.33625624397231,-2.5162876595169834,"['Mimoza Bar', 'Piano Bar', 'Range group', 'Range group', 'Range group']",1.2811496644364089,"[1.2811496644364089, 1.2857862498833035, 1.3164011589146536, 1.3164011589146536, 1.3164011589146536]",5.074882377465765
175,21,83,2013-10-24 21:06:38,Restaurant service,1,9,1,360 Degrees Pizza,-1.9528453,30.0929913,4.3,198.0,"Pizza, Restaurants, Italian, Salad",Teresa,26,3.14,0,35,30.3299292926754,-1.362430167202673,"['ECO WASH  STEAM', 'MU Salon', 'Kunda Gelato  Gacuriro', 'Kunda Gelato  Gacuriro', 'Kunda Gelato  Gacuriro']",1.446644471011279,"[1.446644471011279, 1.4644206917569054, 1.5102908198680598, 1.5102908198680598, 1.5102908198680598]",5.350560207644461
224,127,113,2014-11-12 15:30:27,Coffee shop,1,9,1,Café Neo,-1.958404,30.069569,4.3,54.0,"Food, Cafes, Coffee & Tea, Restaurants",Dana,182,3.41,0,30,30.41505699108125,-1.7674773060963864,"['MU Salon', 'Africa Improved Foods', 'Africa Improved Foods', 'Africa Improved Foods', 'Papyrus Restaurant Gishushu']",0.6683660518089993,"[0.6683660518089993, 0.6917553854537167, 0.6917553854537167, 0.6917553854537167, 0.7281693883387972]",5.721436117212603
72,239,113,2013-01-03 01:35:36,Cafe fare,2,8,1,Café Neo,-1.958404,30.069569,4.3,54.0,"Food, Cafes, Coffee & Tea, Restaurants",F.,39,3.1,2,30,29.26958070328353,-2.3123367296596533,"['Piano Bar', 'Range group', 'Range group', 'Range group', 'Mimoza Bar']",1.048055522032913,"[1.048055522032913, 1.082515201857333, 1.082515201857333, 1.082515201857333, 1.0844358348477807]",6.041647973246778
120,375,148,2012-12-04 16:46:20,Live music,1,9,1,Gisa protais,-1.9440727,30.0618851,0.0,0.0,"Performing Arts, Arts & Entertainment, Nightlife, Comedy Clubs",Mike,120,4.44,1,25,29.54905002869698,-2.3275867468285774,"['Mimoza Bar', 'Piano Bar', 'Range group', 'Range group', 'Range group']",0.6417646968205835,"[0.6417646968205835, 0.6485282419718641, 0.6782644400786947, 0.6782644400786947, 0.6782644400786947]",4.138597745683769
321,122,148,2010-05-14 19:04:56,Improv comedy,2,8,1,Gisa protais,-1.9440727,30.0618851,0.0,0.0,"Performing Arts, Arts & Entertainment, Nightlife, Comedy Clubs",reviewer,146,3.4,2,30,29.54976580881352,-2.791427649005005,"['Gahanga Cricket Stadium', 'Gahanga Cricket Stadium', 'Gahanga Cricket Stadium', 'Gahanga Cricket Stadium', 'Mimoza Bar']",1.4250408360885434,"[1.4250408360885434, 1.4250408360885434, 1.4250408360885434, 1.4250408360885434, 1.7029151908817595]",4.1854386305633815
122,257,128,2018-08-23 21:39:38,Deli restaurant,1,9,1,Sosoma industries,-1.973773,30.1097712,4.6,14.0,"Restaurants, Delis, Salad, Sandwiches",Jenna,84,3.93,0,30,29.56371031049825,-2.303808833712365,"['Mimoza Bar', 'Piano Bar', 'Range group', 'Range group', 'Range group']",0.5781767875316407,"[0.5781767875316407, 0.5823143798309856, 0.6123735278601549, 0.6123735278601549, 0.6123735278601549]",5.863414691985433
